table_name	-表名
tablespace_name	-表空间名
cluster_name	-群集名称
iot_name	-IOT（Index Organized Table）索引组织表的名称
status		-状态
pct_free	-为一个块保留的空间百分比
pct_used	-一个块的使用水位的百分比
ini_trans	-初始交易的数量
max_trans	-交易的最大数量
initial_extent	-初始扩展数
next_extent	-下一次扩展数
min_extents	-最小扩展数
max_extents	-最大扩展数
pct_increase	-表在做了第一次extent后，下次再扩展时的增量，它是一个百分比值
freelists	-可用列表是表中的一组可插入数据的可用块
freelist_groups	-列表所属组
logging		-是否记录日志
backed_up	-指示自上次修改表是否已备份（Y）或否（N）的
num_rows	-表中的行数
blocks		-所使用的数据块数量
empty_blocks	-空数据块的数量
avg_space	-自由空间的平均量
chain_cnt	-从一个数据块，或迁移到一个新块链接表中的行数
avg_row_len	-行表中的平均长度
avg_space_freelist_blocks	-一个freelist上的所有块的平均可用空间
num_freelist_blocks		-空闲列表上的块数量
degree		-每个实例的线程数量扫描表
instances	-跨表进行扫描的实例数量
cache		-是否是要在缓冲区高速缓存
table_lock	-是否启用表锁
sample_size	-分析这个表所使用的样本大小
last_analyzed	-最近分析的日期
partitioned	-表是否已分区
iot_type	-表是否是索引组织表
temporary	-表是否是暂时的
secondary	-表是否是次要的对象
nested		-是否是一个嵌套表
buffer_pool	-缓冲池的表
flash_cache	-智能闪存缓存提示可用于表块
cell_flash_cache	-细胞闪存缓存提示可用于表块
row_movement	-是否启用分区行运动
global_stats	-作为一个整体（全球统计）表的统计的是否准确
user_stats	-是否有统计
duration	-临时表的时间
skip_corrupt	-是否忽略损坏的块标记在表和索引扫描（ENABLED）状态的或将引发一个错误（已禁用）。
monitoring	-是否有监测属性集
cluster_owner	-群集的所有者
dependencies	-行依赖性跟踪是否已启用
compression	-是否启用表压缩
compress_for	-什么样的操作的默认压缩
dropped		-是否已经删除并在回收站
read_only	-表是否是只读
segment_created	-是否创建表段
result_cache	-结果缓存表的模式注释
